,ID
0,1
1,3
2,4
3,8
4,10
5,13
6,14
7,18
8,20
9,23
10,25
11,26
12,29
13,31
14,32
15,34
16,36
17,39
18,42
19,43
20,45
21,49
22,51
23,54
24,56
25,60
26,61
27,66
28,68
29,74
30,75
31,77
32,80
33,82
34,83
35,84
36,87
37,88
38,90
39,91
40,92
41,93
42,95
43,101
44,102
45,105
46,106
47,107
48,109
49,111
50,113
51,115
52,118
53,122
54,125
55,127
56,130
57,131
58,132
59,134
60,135
61,136
62,137
63,139
64,140
65,141
66,142
67,143
68,144
69,145
70,146
71,148
72,150
73,151
74,152
75,153
76,154
77,155
78,156
79,157
80,159
81,161
82,162
83,163
84,165
85,166
86,169
87,170
88,171
89,172
90,173
91,175
92,176
93,177
94,178
95,179
96,180
97,182
98,183
99,184
100,186
101,188
102,191
103,192
104,193
105,195
106,196
107,199
108,200
109,202
110,203
111,204
112,206
113,207
114,209
115,210
116,212
117,213
118,214
119,215
120,217
121,218
122,220
123,221
124,222
125,225
126,227
127,228
128,231
129,232
130,233
131,234
132,235
133,236
134,239
135,241
136,242
137,244
138,252
139,253
140,254
141,258
142,259
143,262
144,265
145,266
146,269
147,270
148,271
149,273
150,276
151,279
152,285
153,287
154,288
155,289
156,292
157,294
158,296
159,299
160,301
161,302
162,303
163,306
164,307
165,311
166,314
167,316
168,319
169,320
170,322
171,324
172,332
173,333
174,340
175,342
176,344
177,345
178,347
179,349
180,353
181,354
182,355
183,356
184,359
185,362
186,363
187,369
188,371
189,373
190,374
191,375
192,378
193,382
194,383
195,384
196,387
197,388
198,390
199,394
200,402
201,404
202,407
203,408
204,410
205,412
206,414
207,415
208,416
209,417
210,420
211,421
212,423
213,426
214,428
215,429
216,432
217,433
218,436
219,440
220,441
221,443
222,444
223,445
224,447
225,448
226,449
227,453
228,456
229,457
230,458
231,459
232,460
233,461
234,462
235,466
236,469
237,471
238,474
239,477
240,478
241,480
242,482
243,485
244,488
245,489
246,490
247,492
248,493
249,496
250,500
251,501
252,502
253,513
254,514
255,515
256,517
257,523
258,527
259,530
260,533
261,535
262,537
263,538
264,543
265,544
266,547
267,548
268,549
269,550
270,551
271,553
272,554
273,555
274,558
275,560
276,561
277,564
278,566
279,567
280,568
281,571
282,572
283,573
284,576
285,577
286,578
287,579
288,580
289,581
290,582
291,583
292,584
293,586
294,587
295,588
296,591
297,596
298,598
299,599
300,600
301,602
302,606
303,609
304,611
305,614
306,618
307,622
308,623
309,626
310,627
311,631
312,633
313,635
314,636
315,639
316,640
317,641
318,645
319,647
320,648
321,649
322,650
323,651
324,652
325,653
326,654
327,656
328,657
329,658
330,659
331,661
332,662
333,663
334,667
335,668
336,669
337,673
338,674
339,679
340,681
341,682
342,686
343,687
344,688
345,689
346,690
347,692
348,694
349,695
350,697
351,701
352,702
353,706
354,708
355,710
356,712
357,714
358,715
359,717
360,718
361,720
362,725
363,726
364,730
365,731
366,732
367,734
368,735
369,737
370,738
371,740
372,741
373,746
374,748
375,753
376,754
377,757
378,758
379,759
380,760
381,761
382,767
383,768
384,771
385,772
386,775
387,782
388,783
389,784
390,785
391,787
392,789
393,790
394,791
395,792
396,793
397,795
398,797
399,798
400,799
401,800
402,806
403,807
404,808
405,811
406,812
407,813
408,814
409,815
410,816
411,818
412,820
413,822
414,823
415,827
416,828
417,829
418,834
419,835
420,836
421,838
422,846
423,847
424,849
425,850
426,851
427,852
428,857
429,858
430,859
431,860
432,862
433,863
434,864
435,868
436,869
437,877
438,878
439,881
440,882
441,885
442,887
443,888
444,889
445,891
446,898
447,903
448,904
449,906
450,907
451,908
452,909
453,910
454,911
455,913
456,916
457,920
458,924
459,925
460,927
461,928
462,932
463,933
464,934
465,935
466,936
467,940
468,942
469,943
470,944
471,945
472,948
473,949
474,958
475,959
476,961
477,962
478,964
479,965
480,967
481,968
482,970
483,973
484,974
485,976
486,977
487,978
488,979
489,981
490,984
491,986
492,989
493,990
494,993
495,994
496,997
497,999
498,1000
499,1003
500,1006
501,1007
502,1008
503,1009
504,1017
505,1018
506,1019
507,1020
508,1021
509,1027
510,1030
511,1031
512,1033
513,1035
514,1038
515,1040
516,1041
517,1043
518,1044
519,1047
520,1048
521,1049
522,1051
523,1053
524,1054
525,1056
526,1059
527,1061
528,1069
529,1071
530,1073
531,1074
532,1075
533,1076
534,1080
535,1083
536,1084
537,1085
538,1086
539,1087
540,1088
541,1089
542,1090
543,1091
544,1092
545,1095
546,1096
547,1097
548,1098
549,1099
550,1100
551,1101
552,1104
553,1105
554,1108
555,1109
556,1110
557,1111
558,1115
559,1117
560,1119
561,1122
562,1123
563,1124
564,1125
565,1126
566,1127
567,1129
568,1131
569,1133
570,1134
571,1136
572,1137
573,1140
574,1142
575,1144
576,1145
577,1147
578,1150
579,1154
580,1156
581,1158
582,1159
583,1163
584,1165
585,1166
586,1167
587,1170
588,1171
589,1172
590,1173
591,1175
592,1179
593,1183
594,1184
595,1186
596,1187
597,1188
598,1189
599,1191
600,1192
601,1193
602,1195
603,1197
604,1198
605,1203
606,1204
607,1205
608,1209
609,1210
610,1211
611,1213
612,1214
613,1215
614,1217
615,1218
616,1220
617,1223
618,1224
619,1226
620,1228
621,1229
622,1242
623,1243
624,1246
625,1248
626,1249
627,1252
628,1253
629,1254
630,1255
631,1256
632,1258
633,1260
634,1261
635,1262
636,1263
637,1264
638,1265
639,1269
640,1271
641,1274
642,1275
643,1277
644,1280
645,1281
646,1282
647,1285
648,1287
649,1288
650,1291
651,1295
652,1297
653,1300
654,1302
655,1303
656,1305
657,1307
658,1309
659,1313
660,1314
661,1316
662,1317
663,1321
664,1322
665,1327
666,1328
667,1330
668,1333
669,1334
670,1337
671,1339
672,1341
673,1343
674,1344
675,1346
676,1348
677,1352
678,1353
679,1357
680,1358
681,1360
682,1364
683,1373
684,1377
685,1378
686,1381
687,1382
688,1384
689,1385
690,1386
691,1391
692,1392
693,1393
694,1395
695,1398
696,1401
697,1406
698,1408
699,1410
700,1411
701,1412
702,1414
703,1417
704,1419
705,1420
706,1421
707,1424
708,1426
709,1427
710,1433
711,1437
712,1439
713,1440
714,1441
715,1442
716,1444
717,1447
718,1448
719,1449
720,1450
721,1451
722,1452
723,1454
724,1455
725,1457
726,1464
727,1465
728,1468
729,1472
730,1474
731,1475
732,1478
733,1479
734,1480
735,1483
736,1484
737,1487
738,1488
739,1489
740,1492
741,1495
742,1496
743,1497
744,1498
745,1499
746,1501
747,1502
748,1503
749,1505
750,1507
751,1508
752,1510
753,1511
754,1513
755,1515
756,1516
757,1517
758,1519
759,1521
760,1523
761,1524
762,1527
763,1528
764,1531
765,1534
766,1535
767,1536
768,1538
769,1539
770,1540
771,1541
772,1543
773,1547
774,1548
775,1550
776,1553
777,1554
778,1557
779,1559
780,1564
781,1565
782,1567
783,1569
784,1571
785,1572
786,1573
787,1574
788,1576
789,1578
790,1580
791,1583
792,1584
793,1588
794,1589
795,1590
796,1591
797,1592
798,1594
799,1595
800,1596
801,1598
802,1600
803,1601
804,1602
805,1603
806,1604
807,1605
808,1606
809,1607
810,1610
811,1611
812,1613
813,1614
814,1617
815,1620
816,1621
817,1622
818,1623
819,1626
820,1629
821,1630
822,1631
823,1632
824,1633
825,1634
826,1638
827,1639
828,1641
829,1643
830,1644
831,1646
832,1649
833,1652
834,1658
835,1660
836,1665
837,1666
838,1667
839,1668
840,1669
841,1670
842,1672
843,1675
844,1676
845,1677
846,1679
847,1681
848,1683
849,1684
850,1685
851,1686
852,1688
853,1693
854,1694
855,1695
856,1697
857,1698
858,1699
859,1700
860,1703
861,1704
862,1706
863,1708
864,1709
865,1710
866,1712
867,1713
868,1718
869,1720
870,1721
871,1722
872,1724
873,1727
874,1729
875,1732
876,1733
877,1734
878,1735
879,1737
880,1738
881,1739
882,1740
883,1741
884,1743
885,1744
886,1746
887,1748
888,1755
889,1756
890,1757
891,1762
892,1764
893,1766
894,1770
895,1771
896,1772
897,1773
898,1778
899,1781
900,1782
901,1786
902,1787
903,1788
904,1791
905,1794
906,1797
907,1799
908,1800
909,1801
910,1804
911,1807
912,1808
913,1811
914,1816
915,1822
916,1824
917,1825
918,1828
919,1830
920,1832
921,1835
922,1836
923,1843
924,1848
925,1849
926,1853
927,1854
928,1855
929,1856
930,1857
931,1858
932,1859
933,1861
934,1863
935,1868
936,1869
937,1875
938,1877
939,1880
940,1881
941,1882
942,1883
943,1886
944,1887
945,1889
946,1890
947,1891
948,1892
949,1894
950,1895
951,1896
952,1898
953,1899
954,1900
955,1904
956,1906
957,1909
958,1910
959,1911
960,1912
961,1913
962,1914
963,1915
964,1916
965,1917
966,1918
967,1920
968,1922
969,1923
970,1924
971,1925
972,1927
973,1929
974,1931
975,1932
976,1936
977,1937
978,1938
979,1941
980,1944
981,1947
982,1950
983,1951
984,1954
985,1956
986,1957
987,1958
988,1960
989,1961
990,1962
991,1964
992,1966
993,1971
994,1972
995,1974
996,1975
997,1976
998,1980
999,1981
1000,1982
1001,1983
1002,1984
1003,1985
1004,1986
1005,1987
1006,1989
1007,1990
1008,1992
1009,1993
1010,1995
1011,1999
1012,2001
1013,2003
1014,2005
1015,2006
1016,2009
1017,2013
1018,2014
1019,2016
1020,2017
1021,2020
1022,2021
1023,2022
1024,2025
1025,2027
1026,2030
1027,2032
1028,2035
1029,2036
1030,2041
1031,2043
1032,2044
1033,2046
1034,2047
1035,2051
1036,2052
1037,2053
1038,2054
1039,2055
1040,2056
1041,2058
1042,2059
1043,2060
1044,2062
1045,2064
1046,2065
1047,2066
1048,2068
1049,2071
1050,2074
1051,2077
1052,2078
1053,2079
1054,2080
1055,2083
1056,2087
1057,2089
1058,2090
1059,2091
1060,2095
1061,2097
1062,2098
1063,2099
1064,2100
1065,2101
1066,2105
1067,2106
1068,2107
1069,2110
1070,2112
1071,2114
1072,2115
1073,2122
1074,2123
1075,2128
1076,2129
1077,2130
1078,2132
1079,2135
1080,2138
1081,2140
1082,2141
1083,2142
1084,2143
1085,2147
1086,2148
1087,2154
1088,2155
1089,2156
1090,2160
1091,2162
1092,2164
1093,2165
1094,2167
1095,2168
1096,2170
1097,2172
1098,2173
1099,2174
1100,2175
1101,2176
1102,2178
1103,2180
1104,2181
1105,2183
1106,2191
1107,2192
1108,2193
1109,2197
1110,2202
1111,2204
1112,2205
1113,2206
1114,2207
1115,2212
1116,2217
1117,2219
1118,2220
1119,2221
1120,2223
1121,2225
1122,2226
1123,2227
1124,2228
1125,2231
1126,2232
1127,2233
1128,2236
1129,2238
1130,2240
